model,configuration,training_strategy,threshold_strategy,threshold,val_accuracy,val_balanced_accuracy,val_real_precision,val_real_recall,val_fake_precision,val_fake_recall,val_macro_f1,val_weighted_f1,val_roc_auc,val_pr_auc,diagnostic
LR C=1.0,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.5104,0.4813,0.1556,0.4375,0.8235,0.525,0.4354,0.5726,0.4844,0.8341,WARNING: REAL recall=0.438 < 0.50; Balanced Acc=0.481 <= 0.55
LR C=1.0,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,youden,0.824,0.3958,0.5375,0.1818,0.75,0.8667,0.325,0.3827,0.4427,0.4844,0.8341,WARNING: FAKE recall=0.325 < 0.50; Balanced Acc=0.537 <= 0.55
LR C=1.0,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,ba_opt,0.1,0.6667,0.525,0.1923,0.3125,0.8429,0.7375,0.5124,0.6952,0.4844,0.8341,WARNING: REAL recall=0.312 < 0.50; Balanced Acc=0.525 <= 0.55
LR C=10.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.5104,0.5062,0.1702,0.5,0.8367,0.5125,0.4448,0.572,0.5062,0.8299,WARNING: Balanced Acc=0.506 <= 0.55
LR C=10.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.3808,0.5833,0.55,0.2,0.5,0.8571,0.6,0.4958,0.6359,0.5062,0.8299,WARNING: Balanced Acc=0.550 <= 0.55
LR C=10.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.3,0.6042,0.5375,0.1944,0.4375,0.85,0.6375,0.4989,0.652,0.5062,0.8299,WARNING: REAL recall=0.438 < 0.50; Balanced Acc=0.537 <= 0.55
LR C=10.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.5417,0.5,0.1667,0.4375,0.8333,0.5625,0.4565,0.5999,0.5039,0.8491,WARNING: REAL recall=0.438 < 0.50; Balanced Acc=0.500 <= 0.55
LR C=10.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,youden,0.8162,0.4792,0.5625,0.1964,0.6875,0.875,0.4375,0.4444,0.537,0.5039,0.8491,WARNING: FAKE recall=0.438 < 0.50
LR C=10.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,ba_opt,0.75,0.4792,0.5625,0.1964,0.6875,0.875,0.4375,0.4444,0.537,0.5039,0.8491,WARNING: FAKE recall=0.438 < 0.50
LinearSVM C=0.01,"{'C': 0.01, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.4992,0.8344,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
LinearSVM C=0.01,"{'C': 0.01, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,youden,0.9305,0.4688,0.5312,0.1818,0.625,0.8537,0.4375,0.4301,0.529,0.4992,0.8344,WARNING: FAKE recall=0.438 < 0.50; Balanced Acc=0.531 <= 0.55
LinearSVM C=0.01,"{'C': 0.01, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,ba_opt,0.85,0.7604,0.5062,0.1818,0.125,0.8353,0.8875,0.5044,0.7419,0.4992,0.8344,WARNING: REAL recall=0.125 < 0.50; Balanced Acc=0.506 <= 0.55
LinearSVM C=0.01,"{'C': 0.01, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,default_0.5,0.5,0.6458,0.4875,0.1538,0.25,0.8286,0.725,0.4819,0.6762,0.4992,0.8471,WARNING: REAL recall=0.250 < 0.50; Balanced Acc=0.487 <= 0.55
LinearSVM C=0.01,"{'C': 0.01, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,youden,0.5194,0.2708,0.5375,0.1786,0.9375,0.9167,0.1375,0.2696,0.2493,0.4992,0.8471,WARNING: FAKE recall=0.138 < 0.50; Balanced Acc=0.537 <= 0.55
LinearSVM C=0.01,"{'C': 0.01, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,ba_opt,0.1,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.4992,0.8471,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
LinearSVM C=0.1,"{'C': 0.1, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5023,0.8379,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
LinearSVM C=0.1,"{'C': 0.1, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,youden,0.8661,0.7812,0.5437,0.2727,0.1875,0.8471,0.9,0.5475,0.7643,0.5023,0.8379,WARNING: REAL recall=0.188 < 0.50; Balanced Acc=0.544 <= 0.55
LinearSVM C=0.1,"{'C': 0.1, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,ba_opt,0.85,0.8438,0.5312,1.0,0.0625,0.8421,1.0,0.516,0.7815,0.5023,0.8379,WARNING: REAL recall=0.062 < 0.50; Balanced Acc=0.531 <= 0.55
LinearSVM C=0.1,"{'C': 0.1, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,default_0.5,0.5,0.5833,0.5,0.1667,0.375,0.8333,0.625,0.4725,0.6337,0.5043,0.8432,WARNING: REAL recall=0.375 < 0.50; Balanced Acc=0.500 <= 0.55
LinearSVM C=0.1,"{'C': 0.1, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,youden,0.5544,0.2604,0.5312,0.1765,0.9375,0.9091,0.125,0.2584,0.2327,0.5043,0.8432,WARNING: FAKE recall=0.125 < 0.50; Balanced Acc=0.531 <= 0.55
LinearSVM C=0.1,"{'C': 0.1, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,ba_opt,0.45,0.8021,0.5062,0.2,0.0625,0.8352,0.95,0.4921,0.7566,0.5043,0.8432,WARNING: REAL recall=0.062 < 0.50; Balanced Acc=0.506 <= 0.55
LinearSVM C=1.0,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.507,0.8365,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
LinearSVM C=1.0,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,youden,0.8881,0.4688,0.5563,0.193,0.6875,0.8718,0.425,0.4364,0.5264,0.507,0.8365,WARNING: FAKE recall=0.425 < 0.50
LinearSVM C=1.0,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,ba_opt,0.1,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.507,0.8365,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
LinearSVM C=1.0,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,default_0.5,0.5,0.5729,0.4938,0.1622,0.375,0.8305,0.6125,0.4657,0.6253,0.5004,0.8464,WARNING: REAL recall=0.375 < 0.50; Balanced Acc=0.494 <= 0.55
LinearSVM C=1.0,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,youden,0.556,0.2708,0.5375,0.1786,0.9375,0.9167,0.1375,0.2696,0.2493,0.5004,0.8464,WARNING: FAKE recall=0.138 < 0.50; Balanced Acc=0.537 <= 0.55
LinearSVM C=1.0,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,ba_opt,0.55,0.3021,0.5312,0.1772,0.875,0.8824,0.1875,0.302,0.3069,0.5004,0.8464,WARNING: FAKE recall=0.188 < 0.50; Balanced Acc=0.531 <= 0.55
LinearSVM C=10.0,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.4891,0.8406,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
LinearSVM C=10.0,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,youden,0.8791,0.6562,0.5437,0.2069,0.375,0.8507,0.7125,0.5211,0.6907,0.4891,0.8406,WARNING: REAL recall=0.375 < 0.50; Balanced Acc=0.544 <= 0.55
LinearSVM C=10.0,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,ba_opt,0.1,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.4891,0.8406,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
LinearSVM C=10.0,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,default_0.5,0.5,0.5,0.5,0.1667,0.5,0.8333,0.5,0.4375,0.5625,0.5039,0.8437,WARNING: Balanced Acc=0.500 <= 0.55
LinearSVM C=10.0,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,youden,0.4475,0.7292,0.5625,0.25,0.3125,0.8553,0.8125,0.5556,0.7407,0.5039,0.8437,WARNING: REAL recall=0.312 < 0.50
LinearSVM C=10.0,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,ba_opt,0.45,0.7083,0.55,0.2273,0.3125,0.8514,0.7875,0.5407,0.7257,0.5039,0.8437,WARNING: REAL recall=0.312 < 0.50; Balanced Acc=0.550 <= 0.55
RBFSVM C=1.0 g=scale,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5086,0.843,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RBFSVM C=1.0 g=scale,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,youden,0.9643,0.5208,0.5375,0.1875,0.5625,0.8542,0.5125,0.4609,0.5807,0.5086,0.843,WARNING: Balanced Acc=0.537 <= 0.55
RBFSVM C=1.0 g=scale,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,ba_opt,0.1,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5086,0.843,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
